pop	Pi	He	theta_w	PC1	hist_periphel	fec_pi	genome_pi	brood_size	suitability	sample_size	bio_geo	group	clade
AD	0.325388117	0.281154403	102.1206016	0.649990152	0.378471245	0.000815553	0.001212683	5.03	0.455242019	4	continu_area	PF	South
AR	0.312651252	0.293985668	86.24480749	0.222758006	0.843851612	0.000896595	0.001227301	4.68	0.293471278	10	leading_edge	LE	South
ARJ	0.306587657	0.288782686	72.52101978	-0.37688464	0.999349818	0.000610399	0.001326687	3.84	0.250155914	11	leading_edge	LE	South
BQ	0.329540893	0.306893916	100.2062862	1.183738772	0.099306149	0.000823538	0.001260237	5.76	0.611847191	9	continu_area	PF	South
CD	0.287557043	0.270272264	71.0945728	-1.138574468	0	0.000816333	0.001230687	4.25	0.51958808	10	rear_edge	RE	South
DJ	0.291485423	0.270286055	70.06005173	-1.093862651	0.928449543	0.000875717	0.001239987	4	0.460391481	8	leading_edge	LE	South
DX	0.330268973	0.306839537	100.909075	1.21588894	0.609289365	0.000844035	0.001413211	4.58	0.320059975	8	continu_area	PF	South
GC	0.282981671	0.250887112	92.80100978	-1.00144012	0	0.00091326	0.001176789	5.71	0.823383151	5	core_refug	PF	North
GH	0.312416653	0.290233797	90.47417328	0.262240594	0	0.000814052	0.001316436	5.64	0.880994713	8	rear_edge	RE	South
GM	0.326861474	0.309024015	99.29502683	1.15043795	0.644484506	0.00087509	0.001365298	3.88	0.192865896	11	leading_edge	LE	South
HR	0.303638856	0.28671158	78.60432141	-0.302997472	0.974865129	0.000480208	0.001285543	3.71	0.343341061	11	leading_edge	LE	South
HY	0.302881105	0.283169072	131.7082781	1.096297097	0	0.000821507	0.001255308	5.09	0.865291008	9	rear_edge	RE	South
LT	0.216378721	0.203149867	41.677973	-4.618432601	0	0.000806074	0.000925842	4.25	0.556917963	11	rear_edge	RE	South
MD	0.3344783	0.312098896	109.6125937	1.641776155	0.226500483	0.000902801	0.001309874	6.05	0.638903986	9	core_refug	PF	South
MK	0.275623268	0.257103762	60.26937179	-1.924565914	0.975269848	0.00085479	0.001173974	3.95	0.43654321	9	rear_edge	RE	South
MQ	0.336663315	0.311934379	110.943294	1.716487767	0	0.000941688	0.001350164	6	0.771583167	8	core_refug	PF	South
NMC	0.334439399	0.310158675	108.0529043	1.559055394	0.494642572	0.000813887	0.001376827	5.3	0.423001638	8	continu_area	PF	South
RKZ	0.31958259	0.302530577	94.90703728	0.763371344	0.795327291	0.000800652	0.001301935	NA	0.453604627	12	leading_edge	LE	South
SD	0.320587833	0.296887216	92.86435385	0.613320089	0.599626537	0.000748068	0.001299094	5.17	0.351923041	8	leading_edge	LE	South
SEDA	0.322165399	0.285527722	94.27294837	0.457181616	0	0.00094702	0.00124582	4.47	0.803780543	5	core_refug	PF	South
TJ	0.289022795	0.269881668	105.225347	-0.165416434	0.236582361	0.000954365	0.001253593	5.74	0.779157055	9	core_refug	PF	North
TTH	0.32932931	0.30501931	100.3356684	1.146281869	0.416931832	0.000822627	0.001255278	3.94	0.458014846	8	continu_area	PF	South
TZ	0.217411837	0.203449964	58.33964559	-4.127717114	0.989498123	0.000832389	0.000963129	4.33	0.447861368	10	rear_edge	RE	North
XH	0.307011296	0.289065804	109.7633111	0.67708673	0	0.000913546	0.001281565	5.75	0.881863078	10	rear_edge	RE	South
YCW	0.253907299	0.234365959	72.88863679	-2.427699534	0.76940752	0.000826538	0.001056887	4.5	0.329248254	8	leading_edge	LE	North
YNG	0.272469912	0.253687936	88.10254638	-1.273489412	0.553036399	0.000862994	0.001140617	6.1	0.579676245	9	continu_area	PF	North
YS	0.333926116	0.309368307	104.0682989	1.422501792	0	0.000950295	0.001342688	5.92	0.749495588	8	core_refug	PF	South
YZF	0.328146547	0.308898977	100.4655722	1.204655599	0.484905928	0.00092583	0.001363876	4.38	0.408573248	10	continu_area	PF	South
ZB	0.306856795	0.287319483	77.47898338	-0.262321643	0.88105704	0.000534786	0.001198479	3.8	0.242539433	10	leading_edge	LE	South
ZD	0.334394187	0.31476287	110.9503554	1.730332138	0.141403146	0.000869174	0.001390121	5.44	0.565489776	10	continu_area	PF	South
