scientific_name,longitude,latitude
pseudopodoces humilis,99.51,35.52
pseudopodoces humilis,99.61,35.8
pseudopodoces humilis,99.67,35.86
pseudopodoces humilis,100,35.9
pseudopodoces humilis,99.63,35.91
pseudopodoces humilis,100.08,35.93
pseudopodoces humilis,100.15,35.97
pseudopodoces humilis,100.23,36.01
pseudopodoces humilis,100.53,36.21
pseudopodoces humilis,101.06,36.26
pseudopodoces humilis,98.1,36.31
pseudopodoces humilis,100.48,36.32
pseudopodoces humilis,101.45,36.36
pseudopodoces humilis,101.51,36.36
pseudopodoces humilis,101.37,36.38
pseudopodoces humilis,101.04,36.42
pseudopodoces humilis,100.91,36.43
pseudopodoces humilis,101.13,36.44
pseudopodoces humilis,101.21,36.45
pseudopodoces humilis,98.38,36.46
pseudopodoces humilis,98.5,36.46
pseudopodoces humilis,98.23,36.47
pseudopodoces humilis,98.62,36.49
pseudopodoces humilis,101.15,36.49
pseudopodoces humilis,99.6,36.5
pseudopodoces humilis,100.48,36.52
pseudopodoces humilis,100.06,36.54
pseudopodoces humilis,100.65,36.55
pseudopodoces humilis,100.73,36.57
pseudopodoces humilis,101.89,36.57
pseudopodoces humilis,100.5,36.58
pseudopodoces humilis,98.72,36.6
pseudopodoces humilis,101.86,36.61
pseudopodoces humilis,100.3,36.62
pseudopodoces humilis,100.42,36.62
pseudopodoces humilis,100.81,36.63
pseudopodoces humilis,100.74,36.64
pseudopodoces humilis,101.69,36.64
pseudopodoces humilis,98.77,36.65
pseudopodoces humilis,99.37,36.66
pseudopodoces humilis,99.94,36.66
pseudopodoces humilis,100.36,36.66
pseudopodoces humilis,101.37,36.67
pseudopodoces humilis,101.79,36.67
pseudopodoces humilis,100.74,36.69
pseudopodoces humilis,99.54,36.7
pseudopodoces humilis,98.87,36.71
pseudopodoces humilis,99.22,36.71
pseudopodoces humilis,97.88,36.72
pseudopodoces humilis,99.47,36.72
pseudopodoces humilis,99.12,36.73
pseudopodoces humilis,99.78,36.73
pseudopodoces humilis,99.63,36.74
pseudopodoces humilis,98.95,36.77
pseudopodoces humilis,100.22,36.77
pseudopodoces humilis,100.77,36.77
pseudopodoces humilis,99.66,36.78
pseudopodoces humilis,99.03,36.79
pseudopodoces humilis,100.34,36.8
pseudopodoces humilis,98.46,36.82
pseudopodoces humilis,100.76,36.82
pseudopodoces humilis,99.74,36.83
pseudopodoces humilis,100.85,36.85
pseudopodoces humilis,99.66,36.86
pseudopodoces humilis,100.93,36.88
pseudopodoces humilis,101.04,36.89
pseudopodoces humilis,99.62,36.9
pseudopodoces humilis,100.24,36.9
pseudopodoces humilis,98.9,36.94
pseudopodoces humilis,99.62,36.95
pseudopodoces humilis,100.66,36.95
pseudopodoces humilis,100.87,36.95
pseudopodoces humilis,101.05,36.96
pseudopodoces humilis,103.35,36.98
pseudopodoces humilis,98.86,36.99
pseudopodoces humilis,99.86,36.99
pseudopodoces humilis,99.62,37
pseudopodoces humilis,100,37
pseudopodoces humilis,100.5,37
pseudopodoces humilis,99.68,37.02
pseudopodoces humilis,100.69,37.03
pseudopodoces humilis,99.75,37.04
pseudopodoces humilis,100.46,37.06
pseudopodoces humilis,100.49,37.1
pseudopodoces humilis,97.56,37.14
pseudopodoces humilis,102.41,37.14
pseudopodoces humilis,99.77,37.17
pseudopodoces humilis,100.42,37.25
pseudopodoces humilis,101.34,37.26
pseudopodoces humilis,96.86,37.28
pseudopodoces humilis,99.01,37.28
pseudopodoces humilis,100.17,37.31
pseudopodoces humilis,101.39,37.34
pseudopodoces humilis,100.21,37.38
pseudopodoces humilis,101.47,37.42
pseudopodoces humilis,99.09,37.45
pseudopodoces humilis,97.43,37.49
pseudopodoces humilis,101.59,37.56
pseudopodoces humilis,100.75,37.58
pseudopodoces humilis,101.75,37.59
pseudopodoces humilis,101.31,37.61
